Designator,Mid X,Mid Y,Layer,Rotation
C1,-138.001,-101.00092,bottom,90
C2,-136.001,-101.00092,bottom,90
C3,-130.001,-101.00092,bottom,90
C4,-130.001,-93.00092,bottom,90
C5,-148.001,-101.00092,bottom,90
R1,-140.501,-93.00092,bottom,90
R2,-138.501,-93.00092,bottom,90
R3,-140.251,-101.00092,bottom,90
U1,-133.001,-101.00092,bottom,270
U2,-134.001,-93.00092,bottom,270
U3,-144.251,-101.00092,bottom,270
